comment,label_1,label_2,label_3
宫崎英高带坏了很多小型游戏开发者，僵硬、困难成了邪典一样的卖点。菜做不好就下重辣，总会有人喜欢,缺点或问题,,
好游戏，适合手柄，说太难的都是些没100%解锁的LJ，老子现在通关跟闹着玩一样，凑两个套装吊打boss，期待新人物登场,优点或启发,,
一开始我是拒绝的，游戏这么难，第一关都通不过。但是后面小姐姐出的多了，长得又好看，我就玩下去了，争取每个小姐姐都通一遍关。现在已经通了两个了，继续剩下的。一gay窝里giaogiao，呀吼！！！！！,优点或启发,,
很难，但是有挑战性，这是勇敢者的游戏,优点或启发,,
有挑战性,优点或启发,,
锁定就是真傻逼，我锁住了，但是我打别人，然后被打一套，每次想打前方然后往旁边的人身上打，手感真的差,缺点或问题,,
物品在多点就好了  多点组合,建议,,
又名小姐姐除妖记,无帮助,,
越来越多的好国产游戏出现让我看到了希望,无帮助,,
这游戏一点不难，小姐姐又漂亮，无双随便开，Boss简直弱智，爽快感(各种意义上的)爆炸！,优点或启发,,
其他的都还好说 就是这个配音听着有点那首 感觉每个人的配音都是一个人配的 这长着一张御姐脸声音却是萝莉音 就算是一个人配的音 麻烦 换几个声线呗,建议,,
这是我玩过上百款类似游戏里面容错率最低的游戏。如果你不是职业玩家，完全可以放弃购买，其难度完全不是给普通玩家设定，操作上的顺滑度毫无连贯可言，依靠血厚或者武器精良，或者是两者兼备，依然不会对你的游戏难度带来任何减轻，谨记，普通玩家不要购买。我没有开玩笑。,缺点或问题,,
非常有自己的风格  很耐玩,优点或启发,,
知道boss套路之后，就变成简单的回合制游戏了，建议多出点新boss，不然boss弱点都知道之后就没什么挑战了。还有就是...房间内指示没打完小怪的箭头能不能早点出现，找房间里面没打完的小怪实在太尴尬了,建议,,
初见很不错。但是解锁新要素的过程过于肝且缺乏乐趣。,缺点或问题,,
我无敌,无帮助,,
很不错的游戏，可惜我手残,无帮助,,
游戏不很难，不追求无伤的话。 音乐一般，立绘美术出色。打击感，招式顺滑度，比早期强太多了。3人制作不易，且游戏更新频率一直很快。制作者加油！等等，我还没死啊，别送我回去啊啊啊啊啊啊啊啊啊啊啊啊啊。。再来一章后续地图啊。。,优点或启发,,
国产支持下,无帮助,,
怎么说呢，我就一个角色玩到底，现在是全boss通过，难度的话感觉还行就第五关的不动明王是真的需要一个雷神腰带来打其余的boss打个五六遍就过了，推荐喜欢玩魂系的玩家玩吧！,优点或启发,,
难度就nm离谱，血药之类的道具还只能拿一个，BOSS伤害四五刀就死还带DOT，最后剩一点血结果眼睁睁看着流血而死，呵呵。最关键的，刹气解锁的东西根本没有让人玩下去的欲望。,缺点或问题,,
怎么说呢。就一个字难！挑战难度的可以试试。,优点或启发,,
