comment,label_1,label_2,label_3
宫崎 英高 带坏 小型 游戏 开发者 僵硬 困难 成 邪典 卖点 菜 做 不好 重辣 总会 有人 喜欢,缺点或问题,,
游戏 适合 手柄 说太难 没 100% 解锁 LJ 老子 通关 闹着玩 凑 两个 套装 吊打 boss 期待 新 人物 登场,优点或启发,,
拒绝 游戏 难 第一关 通不过 小姐姐 出 长得 好看 玩 小姐姐 通 一遍 关 通 两个 剩下 gay 窝里 giaogiao 吼,优点或启发,,
很难 挑战性 这是 勇敢者 游戏,优点或启发,,
挑战性,优点或启发,,
锁定 真傻 逼 锁住 一套 每次 想 前方 旁边 身上 手感 真的 差,缺点或问题,,
物品 多点     多点 组合,建议,,
又名 小姐姐 除妖 记  ,无帮助,,
越来越 国产 游戏 希望,无帮助,,
游戏 一点 不难 小姐姐 漂亮 无双 随便 开 Boss 弱智 爽快 感 意义 爆炸,优点或启发,,
还好 说   配音 听 那首   感觉 配音 人配   这长 一张 御姐 脸 声音 却是 萝莉音   人配 音   麻烦   换 几个 声线,建议,,
玩 百款 类似 游戏 容错 率 最低 游戏 职业 玩家 放弃 购买 难度 玩家 设定 操作 顺滑 度 连贯 可言 血厚 武器精良 兼备 依然 游戏 难度 带来 减轻 谨记 玩家 购买 开玩笑,缺点或问题,,
风格     很耐玩,优点或启发,,
boss 套路 简单 回合制 游戏 建议 出点 新 boss boss 弱点 没什么 挑战 房间内 指示 没打 完小 怪 箭头 早点 找 房间 没 完 小怪 实在 太 尴尬,建议,,
初见 不错 解锁 新 要素 过程 肝且 缺乏 乐趣,缺点或问题,,
无敌,无帮助,,
不错 游戏 可惜 我手 残,无帮助,,
游戏 难 追求 伤   音乐 立绘 美术 出色 打击 感 招式 顺滑 度 早期 强太多 制作 不易 游戏 更新 频率 很快 制作者 加油 没 死 别送 回去 啊啊啊 啊啊啊 啊啊啊 啊啊啊 一章 后续 地图,优点或启发,,
国产 支持,无帮助,,
说 角色 玩 全 boss 难度 感觉 还行 第五 关 不动 明王 真的 雷神 腰带 boss 打个 五六遍 推荐 喜欢 玩魂系 玩家 玩吧,优点或启发,,
难度 nm 离谱 血药 道具 只能 BOSS 伤害 四五 刀 死 带 DOT 剩 一点 血 眼睁睁 看着 流血 死 关键 刹气 解锁 东西 玩 欲望,缺点或问题,,
说 字难 挑战 难度 试试,优点或启发,,
boss 挺 开心 练习模式 让玩家 足够 时间 学习 boss 出招 装备 系统 难受 全 随机 掉落 意味着 套装 成型 明明 套装 效果 手甲 空手 型 角色 超爱 空手 揍,优点或启发,缺点或问题,
游戏 类型 类似 失落 城堡 垂直 视角 关卡 地图 形状 随机 物品 掉落 随机 六个 角色 最最 差别 武器 武器 铁匠 那换 血量 攻击 动作 人形 敌人 个强 一点 兵 导致 游戏 很难 失落 城堡 难 游戏 里 成套 装备 物品 随机 出 情况 难 收集 一套 角色 天赋 点 完 集成 一套 试炼 技术 看运气 角色 天赋 技能 鸡肋 武器 极 平衡 枪类 武器 弱 至少 体验 游戏 正式版 内容 优化 支持 妹子 画 好看 真 打算 出污污 内容 ？,缺点或问题,,
有趣 游戏   感觉 内容 少   期待 后续 更新 ~,优点或启发,缺点或问题,
游戏性 人设 优秀 国内 精英 作品,优点或启发,,
真的 香疯 近半年 玩过 最棒 国产 roguelike,无帮助,,
喜欢 深度 游戏 技能 攻击 衔接起来 更好,优点或启发,,
玩 十个 小时 自由 模式 呆,无帮助,,
好评 人物 好评,优点或启发,,
