comment,label_1,label_2,label_3
玩 一小 BUG 一大堆 招招 致命 也许 耐心 剧情 太 磨叽 全屏 窗口 界面 很小 趴在 笔记本 抢先 体验 完成度 定价 确实 醉人 BUG 有钱 花                     难度 玩到 矮人 开矿 好不容易 卡 坑道 界面 动 全 白玩,bug,缺点或问题,
垃圾 游戏 移植 太差 半年 内容 不全 2070 卡到 跳出,bug,缺点或问题,
策略 耐人寻味 体验 流畅 经常出现 掉 军后 不明 原因 游戏 暂停 需 退出 恢复正常 情况 出错 频率 极高,bug,缺点或问题,
第二个 御剑 剑 核 飞天 右键 无限 远程 浮空 敌人 鸟 女外 伤 两分钟 打死 堕龙 吊打 重剑 正面 肛太强 无限 破绽 砸 地上 原地 站 桩 打法 可惜 飞 bug 重剑 出招 气息 初始 人物 戴血 面具 模型 几秒 消失 失手 升级 道具 打死 开 新档,bug,缺点或问题,
挺好玩 小游戏 玩 几局 感觉 内味 买 游戏 发现 发霉 土豆 服务器 真心 伤不起 几次 进 游戏 开 一炮 炮弹 显示 两分钟 车炸 跳 回主 界面 情况 NM 离谱 第一个 教程 一局 游戏 体验 只能 差评 PS 情况 好转 会改 好评,bug,缺点或问题,
Uboat 第一款 教程 关 就让 放弃 想法 游戏 原因 接受 BUG 实在 太 导致 教程 关都 卡住 过不去 第一次 教程 关 卡 厨房 转移 食物 操作失误 科勒 水果 身上 死活 厨房 转移 一步 操作 放弃 重开 第二次 水果 转移 厨房 身上 留 水果 无所谓 没管 打捞 环节 打捞 雷达 转移 舱内 身上 五个 水果 占位 捡 雷达 想 水果 丢掉 替换 雷达 不行 卡关 放弃 重开 第三次 更是 过分 潜艇 刚刚 开出 港外 地图 模式 小心 多点 右键 设 新 目的 点 教程 退回 选 第一个 目的 点 潜艇 受 控制 蹭 岸边 乱转 走上正轨 时船 里 积水 齐腰 深 放弃 重 第四次 突破 万难 来到 沉船 边上 士官 SOMMER 穿戴 潜水衣 下水 打捞 发现 选项 说 水下 沉船 切回 第三人称 视角 发现 沉船 浮在 潜艇 上空 放弃 重 第五次 进 教程 万念俱灰 来到 沉船 处切 第三人称 视角 发现 沉船 浮 海面 打捞 沉船 选项 放弃 推出 游戏 想 我会 一阵 碰 倒霉 游戏 玩 实在 糟心 太累,bug,缺点或问题,
游戏 游戏 bug 实在 太多 太 影响 游戏 感受 bug 导致 玩 船员 充满 船舱 占用 空间 食物 请 开发 组,bug,缺点或问题,
手 难度 缺点 太 跳出 玩 要勤 存档 完 一艘 存 做 完 存 进 海域 存 真的 太太 太太 太太 跳出 教程 存档 跳出 三十 放弃 b 站 完整 教程 视频 教程 疯狂 跳出 游戏 挺 硬核 懂 潜艇 压力 跳出 过后 档 不见 玩 两天 档 啊啊啊 啊啊啊 离线 玩 游戏 时间 重置 mod 不见,bug,缺点或问题,
新年 窝 家里 扮演 艇长 不停 击沉 嘤 帝国 运输船 国家 抗击 瘟疫 做出 贡献 更爽 事情 日有 不爽 地方 奇怪 bug 鱼雷 预热 下潜 留下 水手 甲板 人员 损失 水 淹没 不知所措 伤员 抢救 这是 医疗 包 卫生员 伤员 扶 床上 躺 治 只能 死 灯光 做成 选择 灯光 点 点 两下 操作 方式 麻烦 计算 位置 提示 像是 压缩空气 氧气 士气 提示 面板 提示 更好 计算 位置 查看 提示 丢失 茫茫大海 难 改进 游戏 简介 潜艇 比作 水兵 坟墓 不太 准确 或者说 不太 中文 讲 大海 水兵 坟墓 潜艇 水兵 铁 棺材 档有 军官 划水 操纵 遂 读 好久 前 存档 重打 总算 绕开 bug 没成想 尝试 出港 几次 没到 公海 卡住 闪退 档 废 改差评 菜鸡 浮上 海面 护卫舰 对炮,bug,缺点或问题,
卡住 黑屏 习以为常 加速器 开 游戏 迅游 烟雾弹 判定 很迷 飞船 判定 医院 汉化 说 医院 传送 确实 用过 医院 水马 概率 低 那全 脚本 过分 希望 游戏 脚本 毁掉 希望 官方 严肃处理,bug,缺点或问题,
